Game,Date,Conference,Venue,Opp,Min,PTS,FG,FGA,FT,FTA,Season
230,3/24/90,West,Home,SAC,39,43,16,28,9,10,N3
231,3/26/90,West,Home,PHO,28,28,14,24,0,0,N3
232,3/28/90,East,Away,CLE,50,69,23,37,21,23,N3
233,3/30/90,East,Home,NYK,45,49,20,34,8,9,N3
234,4/1/90,East,Home,MIA,41,47,20,29,6,9,N3
235,4/3/90,East,Home,IND,44,29,8,19,12,12,N3
236,4/5/90,East,Home,ORL,39,38,14,23,8,10,N3
237,4/7/90,West,Away,DAL,40,43,15,26,10,13,N3
238,4/11/90,East,Home,CLE,31,22,9,15,3,4,N3
239,4/13/90,East,Home,MIL,39,26,10,16,5,6,N3
240,4/14/90,East,Away,WSB,37,21,10,21,0,1,N3
241,4/16/90,East,Away,IND,45,23,11,24,1,2,N3
242,4/17/90,East,Home,BOS,36,35,13,24,7,8,N3
243,4/19/90,East,Home,WSB,36,32,12,26,6,6,N3
244,4/20/90,East,Away,BOS,35,45,21,29,3,3,N3
245,4/22/90,East,Away,DET,37,22,10,23,1,2,N3
246,11/6/92,East,Away,CLE,37,29,12,26,5,6,N4
247,11/7/92,East,Home,ATL,39,35,13,29,8,9,N4
248,11/9/92,East,Home,IND,42,24,10,20,4,5,N4
249,11/11/92,East,Home,DET,52,37,13,24,8,10,N4
250,11/13/92,East,Away,MIL,42,34,14,31,6,8,N4
251,11/14/92,West,Home,DEN,22,18,7,13,2,2,N4
252,11/17/92,West,Away,MIN,31,32,14,21,2,3,N4
253,11/19/92,West,Away,SEA,34,35,14,22,5,5,N4
254,11/20/92,West,Away,LAL,47,54,21,39,11,14,N4
255,11/22/92,West,Away,PHO,39,40,16,27,8,8,N4
256,11/24/92,West,Away,GSW,44,49,18,30,12,14,N4
257,11/28/92,East,Away,NYK,38,17,4,20,9,9,N4
258,12/4/92,West,Home,POR,38,38,15,25,7,9,N4
259,12/5/92,East,Home,BOS,37,24,8,20,8,9,N4
260,12/8/92,East,Away,ATL,46,32,14,28,2,2,N4
261,12/9/92,East,Home,CLE,35,28,10,22,7,7,N4
262,12/11/92,West,Home,HOU,40,26,11,23,3,3,N4
263,12/12/92,East,Home,NJN,41,38,13,26,9,12,N4
264,12/15/92,East,Home,CHH,33,25,11,21,0,0,N4
265,12/17/92,East,Away,WSB,40,28,12,29,4,4,N4
266,12/19/92,East,Home,PHI,42,23,11,26,0,0,N4
267,12/21/92,East,Home,MIA,43,18,6,19,5,6,N4
268,12/23/92,East,Home,WSB,42,57,22,37,7,8,N4
269,12/25/92,East,Home,NYK,41,42,15,34,12,16,N4
270,12/26/92,East,Away,IND,20,17,8,22,0,0,N4
271,12/29/92,East,Away,CHH,42,28,9,25,9,10,N4
272,12/30/92,East,Away,MIA,40,39,9,18,21,24,N4
273,1/2/93,East,Home,IND,40,39,14,27,9,11,N4
274,1/5/93,West,Home,LAL,41,36,15,31,5,6,N4
275,1/6/93,East,Away,CLE,34,23,10,22,3,5,N4
276,1/8/93,East,Home,MIL,35,35,15,26,3,3,N4
277,1/9/93,East,Away,PHI,44,30,13,36,4,4,N4
278,1/12/93,East,Away,ORL,37,23,9,22,5,6,N4
279,1/15/93,West,Home,GSW,38,26,10,19,5,5,N4
280,1/16/93,East,Home,ORL,47,64,27,49,9,11,N4
281,1/18/93,East,Home,BOS,30,29,10,22,9,10,N4
282,1/21/93,East,Away,NJN,39,30,12,24,4,4,N4
283,1/22/93,East,Home,CHH,43,28,10,26,8,11,N4
284,1/24/93,West,Away,SAS,44,42,16,35,10,11,N4
285,1/26/93,West,Away,DAL,27,15,7,15,0,0,N4
286,1/28/93,West,Away,HOU,39,26,12,27,1,2,N4
287,1/30/93,West,Away,DEN,41,39,14,31,11,15,N4
288,2/1/93,West,Away,UTA,43,37,13,28,10,14,N4
289,2/3/93,West,Away,SAC,39,36,14,26,6,7,N4
290,2/4/93,West,Away,LAC,47,33,13,34,7,7,N4
291,2/7/93,West,Away,POR,43,34,13,28,4,6,N4
292,2/10/93,East,Away,IND,42,40,16,27,7,9,N4
293,2/13/93,East,Home,CLE,43,25,12,22,1,2,N4
294,2/15/93,West,Home,SAC,37,32,12,21,8,10,N4
295,2/17/93,West,Home,UTA,34,27,10,25,5,7,N4
296,2/23/93,East,Home,MIL,41,34,15,26,4,6,N4
297,2/25/93,East,Away,ORL,41,36,13,29,9,10,N4
298,2/27/93,East,Home,ATL,36,34,13,27,5,5,N4
299,3/2/93,East,Away,NJN,40,24,8,17,7,9,N4
300,3/9/93,West,Home,SEA,41,38,15,28,8,9,N4
301,3/11/93,East,Away,MIA,38,29,11,25,6,6,N4
302,3/12/93,East,Home,CHH,43,52,21,35,8,9,N4
303,3/14/93,East,Away,DET,43,28,11,25,5,6,N4
304,3/15/93,West,Home,LAC,38,23,10,22,3,4,N4
305,3/19/93,East,Home,WSB,39,25,9,27,7,7,N4
306,3/20/93,East,Away,WSB,31,47,16,27,13,15,N4
307,3/23/93,West,Home,MIN,42,34,12,21,6,6,N4
308,3/24/93,East,Away,PHI,39,43,20,29,1,2,N4
309,3/26/93,East,Home,ORL,33,18,5,14,8,8,N4
310,3/30/93,West,Home,PHO,40,44,19,31,6,7,N4
311,4/2/93,East,Home,NJN,38,40,16,24,8,9,N4
312,4/4/93,East,Away,BOS,40,32,14,23,3,6,N4
313,4/6/93,East,Away,MIL,44,30,13,30,3,4,N4
314,4/9/93,East,Away,ATL,44,30,12,23,5,5,N4
315,4/10/93,East,Away,IND,42,25,11,25,3,4,N4
316,4/12/93,East,Away,DET,41,23,9,21,5,5,N4
317,4/14/93,East,Home,MIA,31,34,12,19,7,7,N4
318,4/16/93,East,Home,MIL,35,47,15,25,17,21,N4
319,4/18/93,East,Away,CLE,45,32,13,26,6,7,N4
320,4/20/93,East,Home,PHI,27,28,12,22,1,1,N4
321,4/22/93,East,Home,DET,46,36,15,27,6,11,N4
322,4/23/93,East,Away,CHH,38,38,15,27,7,8,N4
323,4/25/93,East,Away,NYK,37,21,10,28,1,3,N4
324,11/1/96,East,Away,BOS,43,30,10,22,10,13,N5
325,11/2/96,East,Home,PHI,30,27,11,20,2,2,N5
326,11/5/96,West,Home,VAN,31,22,9,18,1,1,N5
327,11/6/96,East,Away,MIA,39,50,18,33,13,14,N5
328,11/8/96,East,Away,DET,35,15,6,14,2,2,N5
329,11/9/96,East,Home,BOS,31,27,10,23,7,11,N5
330,11/11/96,West,Home,PHO,35,26,12,21,1,2,N5
331,11/13/96,East,Home,MIA,33,28,8,23,12,16,N5
332,11/15/96,East,Away,CHH,28,38,15,25,4,4,N5
333,11/16/96,East,Home,ATL,35,25,11,23,3,4,N5
334,11/20/96,West,Away,PHO,35,37,16,29,5,6,N5
335,11/21/96,West,Away,DEN,33,31,12,23,7,7,N5
336,11/23/96,West,Away,UTA,39,44,17,32,10,12,N5
337,11/25/96,West,Away,LAC,42,40,14,26,11,12,N5
338,11/29/96,West,Away,DAL,39,36,13,23,6,6,N5
339,11/30/96,West,Away,SAS,38,35,14,35,5,5,N5
340,12/3/96,East,Away,MIL,41,40,13,27,14,17,N5
341,12/5/96,West,Home,LAC,31,20,9,21,2,3,N5
342,12/7/96,East,Home,MIA,41,37,16,30,5,6,N5
343,12/8/96,East,Away,TOR,20,13,5,17,2,2,N5
344,12/11/96,West,Home,MIN,36,27,10,16,6,6,N5
345,12/13/96,East,Away,NJN,34,32,9,19,11,12,N5
346,12/14/96,East,Home,CHH,41,29,10,26,9,12,N5
347,12/17/96,West,Home,LAL,47,30,10,32,10,14,N5
348,12/19/96,East,Away,CHH,36,35,13,27,6,7,N5
349,12/21/96,East,Away,PHI,44,31,12,29,6,8,N5
350,12/23/96,East,Home,NJN,33,24,10,18,4,4,N5
351,12/25/96,East,Home,DET,46,23,9,21,5,7,N5
352,12/26/96,East,Away,ATL,39,34,10,25,12,13,N5
353,12/28/96,East,Home,CLE,41,45,13,25,19,20,N5
354,12/30/96,East,Home,IND,39,28,12,29,3,4,N5
355,1/3/97,East,Home,ORL,35,22,10,18,2,2,N5
356,1/6/97,West,Home,UTA,40,23,8,20,5,6,N5
357,1/10/97,East,Away,MIL,38,33,11,23,8,13,N5
358,1/11/97,West,Home,HOU,38,32,12,25,4,4,N5
359,1/14/97,East,Home,WSB,39,39,14,27,11,11,N5
360,1/15/97,West,Away,MIN,34,25,12,22,0,0,N5
361,1/17/97,East,Home,MIL,36,24,10,15,3,4,N5
362,1/19/97,West,Away,HOU,43,26,8,25,9,9,N5
363,1/21/97,East,Home,NYK,43,51,18,30,10,11,N5
364,1/23/97,East,Away,CLE,39,32,10,24,11,12,N5
365,1/25/97,East,Home,TOR,30,24,10,16,1,2,N5
366,1/28/97,West,Away,VAN,32,28,12,19,3,4,N5
367,1/30/97,West,Away,SAC,39,32,11,19,9,10,N5
368,1/31/97,West,Away,GSW,32,18,8,17,1,1,N5
369,2/2/97,West,Away,SEA,44,45,19,28,5,6,N5
370,2/4/97,West,Away,POR,41,36,15,30,5,5,N5
371,2/5/97,West,Away,LAL,39,27,10,24,5,6,N5
372,2/11/97,East,Home,CHH,41,43,16,24,10,14,N5
373,2/14/97,East,Away,ATL,45,30,13,28,3,5,N5
374,2/16/97,East,Home,ORL,37,19,8,20,0,0,N5
375,2/18/97,West,Home,DEN,32,24,10,18,3,4,N5
376,2/21/97,East,Away,WSB,45,36,13,28,7,12,N5
377,2/22/97,West,Home,GSW,30,34,13,19,3,4,N5
378,2/24/97,West,Home,POR,30,37,13,27,8,9,N5
379,2/27/97,East,Away,CLE,43,23,7,25,9,9,N5
380,2/28/97,West,Home,SAC,34,35,13,20,4,5,N5
381,3/3/97,East,Home,MIL,36,31,11,19,6,6,N5
382,3/5/97,West,Home,SAS,23,16,7,17,1,2,N5
383,3/7/97,East,Home,IND,44,38,11,21,15,17,N5
384,3/9/97,East,Away,NYK,46,36,14,31,8,9,N5
385,3/11/97,East,Away,BOS,43,32,13,23,5,6,N5
386,3/12/97,East,Away,PHI,37,23,9,24,4,5,N5
387,3/14/97,East,Away,NJN,38,36,16,34,3,5,N5
388,3/15/97,East,Home,ATL,38,10,5,11,0,0,N5
389,3/18/97,West,Home,SEA,50,32,10,28,12,13,N5
390,3/21/97,East,Away,IND,40,36,11,25,13,14,N5
391,3/22/97,East,Home,DET,35,23,8,20,4,4,N5
392,3/25/97,West,Home,DAL,36,20,9,20,2,2,N5
393,3/27/97,East,Away,TOR,41,12,5,17,2,3,N5
394,3/29/97,East,Home,NJN,38,21,9,21,2,3,N5
395,4/1/97,East,Home,BOS,27,21,8,11,5,9,N5
396,4/3/97,East,Away,WSB,38,34,14,30,5,6,N5
397,4/4/97,East,Home,CLE,38,22,9,16,4,5,N5
398,4/6/97,East,Away,ORL,40,37,13,22,8,9,N5
399,4/7/97,East,Home,PHI,29,30,13,25,1,2,N5
400,4/9/97,East,Away,IND,41,23,8,19,7,8,N5
401,4/10/97,East,Away,NYK,44,34,12,26,9,10,N5
402,4/13/97,East,Away,DET,38,18,7,16,4,4,N5
403,4/14/97,East,Home,TOR,34,30,12,24,2,2,N5
404,4/16/97,East,Away,MIA,39,26,11,27,2,4,N5
405,4/19/97,East,Home,NYK,39,33,14,22,4,8,N5
